O_score,C_score,E_score,A_score,N_score,Numerical Aptitude,Spatial Aptitude,Perceptual Aptitude,Abstract Reasoning,Verbal Reasoning,GPA,Career,Cluster
5.45,8.67,3.45,5.34,4.23,7.06,4.4,3.84,4.84,7.01,3.14,Accountant,Accounting/Finance
5.45,8.67,3.45,5.34,4.23,5.1,3.42,2.2,5.33,3.79,3.46,Accountant,Accounting/Finance
6.46,9.68,4.46,6.35,5.24,5.81,4.12,2.3,6.13,4.5,3.33,Accountant,Accounting/Finance
5.96,8.72,4.2,5.85,4.55,5.3,3.96,3.47,6.12,6.04,3.29,Accountant,Accounting/Finance
6.26,9.21,4.01,6.21,5.08,6.87,3.85,3.12,4.94,5.52,3.27,Accountant,Accounting/Finance
6.11,9.22,4.07,6.01,4.25,6.09,4.29,2.9,5.55,4.79,3.23,Accountant,Accounting/Finance
6.16,9.31,3.87,5.5,5.05,6.72,3.76,3.69,6.09,6.41,3.16,Accountant,Accounting/Finance
6.25,9.4,3.7,5.41,4.51,5.73,3.53,2.38,5.51,5.99,3.42,Accountant,Accounting/Finance
6.35,9.66,3.81,5.99,4.35,6.86,3.56,3.01,5.65,4.31,3.4,Accountant,Accounting/Finance
5.79,9.19,4.22,5.37,4.93,5.86,4.17,2.22,5.74,6.72,3.46,Accountant,Accounting/Finance
5.83,9,3.46,5.93,4.87,5.12,4.03,2.97,5.43,6.44,3.46,Accountant,Accounting/Finance
5.54,9.47,3.57,6.29,5.12,6.87,3.52,2.29,5.65,6.85,3.32,Accountant,Accounting/Finance
6.03,8.94,3.5,5.92,4.97,5.28,3.5,2.39,5.59,6.13,3.39,Accountant,Accounting/Finance
5.49,9.11,3.49,5.73,5.04,5.73,4.11,2.39,6,5.77,3.44,Accountant,Accounting/Finance
5.92,8.75,4.31,5.99,4.51,6.96,3.49,3.26,4.9,5.14,3.41,Accountant,Accounting/Finance
6,8.7,4.16,5.8,4.41,6.96,4.23,3.42,5.2,6.79,3.22,Accountant,Accounting/Finance
5.74,9.64,3.93,5.89,4.99,6.22,4.11,3.16,6.07,6.58,3.28,Accountant,Accounting/Finance
6.05,9.51,3.55,6.29,5.04,6.34,3.5,3.78,5.99,3.94,3.18,Accountant,Accounting/Finance
5.48,9.37,3.95,5.73,5.23,5.98,3.5,2.81,5.43,3.87,3.45,Accountant,Accounting/Finance
5.49,9.08,3.93,6.31,4.65,5.67,4.39,2.67,5.64,5,3.33,Accountant,Accounting/Finance
6.67,7.78,3.45,6.01,5.45,7.23,4.73,4.45,6.06,6.9,3.49,Financial Advisor,Accounting/Finance
6.67,8.93,3.45,5.6,2.43,7.8,4.53,2.94,4.55,7.27,2.26,Financial Advisor,Accounting/Finance
6.47,8.73,3.25,5.4,2.23,7.6,4.33,2.74,4.35,7.07,3.19,Financial Advisor,Accounting/Finance
6.67,7.78,3.45,6.01,5.45,5.11,4.03,1.48,5.67,4.54,3.92,Financial Advisor,Accounting/Finance
6.67,8.93,3.45,5.6,2.43,5.57,4.03,2.84,6.01,4.46,2.57,Financial Advisor,Accounting/Finance
6.47,8.73,3.25,5.4,2.23,5.43,3.89,2.82,5.85,4.32,2.03,Financial Advisor,Accounting/Finance
7.68,8.79,4.46,7.02,6.46,5.82,4.73,1.58,6.48,5.24,2.78,Financial Advisor,Accounting/Finance
7.68,8.45,4.46,6.61,3.44,5.68,4.73,2.35,6.38,5.16,2.51,Financial Advisor,Accounting/Finance
7.48,9.74,4.26,6.41,3.24,6.14,4.59,2.92,6.66,5.02,2.53,Financial Advisor,Accounting/Finance
7.1,8.79,3.42,5.46,5.25,5.34,4.04,2.44,6.11,4.8,2.25,Financial Advisor,Accounting/Finance
7.5,9.32,4.03,6.7,6.02,6.55,4.64,2.74,5.73,6.72,3.81,Financial Advisor,Accounting/Finance
7.14,8.56,3.47,6.42,4.39,6.69,3.96,2.99,5.44,6.28,3.22,Financial Advisor,Accounting/Finance
7.15,9,3.67,5.53,4.48,7.12,4.33,2.2,5.3,5.86,2.66,Financial Advisor,Accounting/Finance
7.53,9.47,4.34,6.82,2.68,6.27,4.23,1.82,5.16,5.38,2.29,Financial Advisor,Accounting/Finance
6.96,9.64,3.82,6.89,4.12,5.45,4.72,3.29,6.5,6.91,3.53,Financial Advisor,Accounting/Finance
6.63,8.07,4.06,5.5,4.48,5.87,3.98,2.34,6.27,5.48,3.2,Financial Advisor,Accounting/Finance
6.5,9.6,3.46,5.85,3.26,6.09,4.22,3.21,6.58,6.73,3.04,Financial Advisor,Accounting/Finance
7.38,8.74,3.48,6.71,3.37,6.85,4.7,1.94,4.64,5.62,3.72,Financial Advisor,Accounting/Finance
7.22,8.29,3.3,6.61,3.83,6.65,4.62,2.91,6.04,5.43,3.52,Financial Advisor,Accounting/Finance
7.32,8.68,3.45,5.7,2.31,6.07,4.58,3.06,6.52,5.68,2.32,Financial Advisor,Accounting/Finance
6.78,8.67,5.23,6.45,4.01,7.73,5.84,4.62,5.4,7.56,3.66,Financial Analyst,Accounting/Finance
6.78,8.67,5.23,6.45,4.01,5.5,4.44,2.27,5.99,4.68,2.44,Financial Analyst,Accounting/Finance
7.79,9.68,6.24,7.46,5.02,6.21,5.14,2.37,6.8,5.39,3.26,Financial Analyst,Accounting/Finance
7.74,8.78,5.69,7.05,4.97,6.04,4.97,2.88,6.24,6.05,3.44,Financial Analyst,Accounting/Finance
6.89,8.82,6.22,6.68,4.08,6.33,5.45,3.66,5.6,6.41,3.25,Financial Analyst,Accounting/Finance
7.63,9.26,6.08,6.91,4.77,6.1,5.64,2.9,6.57,6.6,3.58,Financial Analyst,Accounting/Finance
6.91,9.18,5.36,6.59,4.22,6.94,5.6,3.74,6.78,5.19,3.33,Financial Analyst,Accounting/Finance
7.18,9.29,6.16,6.63,4.92,6.41,5,3.23,6.14,7.31,2.7,Financial Analyst,Accounting/Finance
7.59,8.69,6.11,6.95,4.22,5.56,5.38,3.57,5.64,5.89,2.48,Financial Analyst,Accounting/Finance
6.93,9.55,5.75,6.87,4.2,5.85,4.73,3.29,5.78,5.78,2.76,Financial Analyst,Accounting/Finance
7.01,9.61,5.83,7.37,4.05,7.1,4.85,2.96,5.43,6.17,3.17,Financial Analyst,Accounting/Finance
7.51,9.24,5.63,6.82,4.49,6.97,5.69,4.5,6.68,4.82,2.5,Financial Analyst,Accounting/Finance
7.51,9.37,5.29,7.04,4.58,5.56,4.46,4.06,5.56,5.16,3.05,Financial Analyst,Accounting/Finance
7.43,9.6,5.57,7.09,4.08,5.99,4.56,2.6,6.21,6.81,3.17,Financial Analyst,Accounting/Finance
7.48,9.38,6.04,6.46,4.79,6.02,4.73,4.31,5.78,4.92,2.85,Financial Analyst,Accounting/Finance
7.33,8.82,5.23,7.12,4.47,7,4.48,3.42,6.18,6.42,3.38,Financial Analyst,Accounting/Finance
7.03,9.25,5.57,6.63,4.54,5.54,4.69,4.37,6.31,5.39,2.57,Financial Analyst,Accounting/Finance
7.13,9.28,5.63,7.42,4.46,5.73,5.26,4.15,6.56,5.8,2.53,Financial Analyst,Accounting/Finance
6.96,9.1,5.77,6.6,4.41,7.28,5.03,3.27,5.69,5.51,3.33,Financial Analyst,Accounting/Finance
7.7,9.41,6.16,6.87,4.58,5.9,5.69,2.32,5.42,5.7,3.04,Financial Analyst,Accounting/Finance
6.78,8.67,4.45,6.01,4.78,7.73,5.23,4.62,5.78,7.34,3.05,Financial Auditor,Accounting/Finance
6.78,8.67,4.45,6.01,4.78,5.5,4.28,2.03,5.99,4.59,3.87,Financial Auditor,Accounting/Finance
7.79,9.68,5.46,7.02,5.79,6.21,4.99,2.14,6.8,5.3,2.62,Financial Auditor,Accounting/Finance
7.27,9.51,4.47,6.3,5.01,5.84,4.53,4.28,6.07,6.54,3.87,Financial Auditor,Accounting/Finance
7.59,8.89,4.49,6.89,5.08,7.6,5.06,3.9,6.5,6.29,2.7,Financial Auditor,Accounting/Finance
7.48,9.67,5.05,6.54,5.02,6.95,4.49,3.31,6.63,7.29,3.35,Financial Auditor,Accounting/Finance
7.05,9.62,4.68,6.96,4.82,6.86,4.49,2.24,6.49,6.33,3.05,Financial Auditor,Accounting/Finance
7.38,8.71,4.57,6.82,4.8,6.64,4.79,2.6,6.47,5.3,3.4,Financial Auditor,Accounting/Finance
7.14,9.38,4.53,7.02,5.78,6.01,4.84,3.8,6.41,6.33,2.68,Financial Auditor,Accounting/Finance
6.87,9.6,5.15,6.36,5.21,5.89,4.83,2.23,6.55,6.07,3.71,Financial Auditor,Accounting/Finance
7.71,8.85,4.79,6.78,5.17,5.99,4.37,4.23,5.94,6.73,3.84,Financial Auditor,Accounting/Finance
6.92,9.24,5.18,6.42,5.47,5.92,5.11,3.31,6.68,4.88,3.83,Financial Auditor,Accounting/Finance
7.74,9.59,4.52,6.49,5,7.24,4.53,3.27,6.67,6.68,3.56,Financial Auditor,Accounting/Finance
7.23,8.7,4.77,6.64,5.74,6.28,4.4,3.56,5.81,6.08,2.78,Financial Auditor,Accounting/Finance
6.97,9.37,4.99,6.89,5.57,5.63,5.12,4.17,6.62,7.24,3.57,Financial Auditor,Accounting/Finance
7.33,8.97,5.25,7,4.87,7.66,5.19,2.93,5.91,5.53,2.65,Financial Auditor,Accounting/Finance
7.66,9.6,4.77,6.79,5.2,7.47,5.1,3.79,6.12,6.33,2.65,Financial Auditor,Accounting/Finance
7.52,9.65,5.08,6.43,5.67,7.57,5.05,3.5,6.54,7.15,3.02,Financial Auditor,Accounting/Finance
7.59,9.62,5.34,6.44,5.73,7.72,4.9,2.72,5.94,4.87,3.23,Financial Auditor,Accounting/Finance
7.45,9.15,5.07,6.75,5.25,5.89,4.8,4.31,6.61,7.17,3.58,Financial Auditor,Accounting/Finance
5.67,8.78,6.67,6.34,4.34,7.23,6.51,5.51,5.01,7.56,3.05,Financial Planner,Accounting/Finance
5.67,8.78,6.67,6.34,4.34,5.21,4.17,2.21,5.47,4.1,2.89,Financial Planner,Accounting/Finance
6.68,9.79,7.68,7.35,5.35,5.92,4.88,2.31,6.28,4.81,2.51,Financial Planner,Accounting/Finance
6.08,9.4,6.96,6.42,5.16,6.22,4.26,2.99,5.59,7.1,2.98,Financial Planner,Accounting/Finance
6.1,9.68,7.47,7.04,4.74,5.37,5.47,5.07,6.24,4.92,2.62,Financial Planner,Accounting/Finance
6.13,9.01,7.16,7.21,4.47,7.02,5.85,4.12,5.24,4.35,2.57,Financial Planner,Accounting/Finance
5.84,9,6.79,7.13,4.91,6.32,4.7,3.66,6.1,4.69,2.66,Financial Planner,Accounting/Finance
6.47,8.81,6.8,6.38,5.04,6.86,6.5,4.6,5.64,5.9,2.54,Financial Planner,Accounting/Finance
6.37,9.44,7.36,6.83,5.15,6.12,6.45,3.82,5.32,5.27,2.8,Financial Planner,Accounting/Finance
